Unnamed: 0,Rank,NOC,Gold,Silver,Bronze,Total,Year,Host,Number_of_people
0,1,United_States,11,7,2,20,1896,0,14
1,2,Greece,10,18,19,47,1896,1,101
2,3,Germany,6,5,2,13,1896,0,19
3,4,France,5,4,2,11,1896,0,12
4,5,Great_Britain,2,3,2,7,1896,0,10
5,6,Hungary,2,1,3,6,1896,0,7
6,7,Austria,2,1,2,5,1896,0,3
7,8,Australia,2,0,0,2,1896,0,1
8,9,Denmark,1,2,3,6,1896,0,3
9,10,Switzerland,1,2,0,3,1896,0,3
10,11,Mixed_team,1,0,1,2,1896,0,3
11,1,France,27,39,37,103,1900,1,536
12,2,United_States,19,14,15,48,1900,0,59
13,3,Great_Britain,15,7,9,31,1900,0,39
14,4,Mixed_team,8,5,6,19,1900,0,39
15,5,Belgium,6,7,4,17,1900,0,28
16,6,Switzerland,6,2,1,9,1900,0,15
17,7,Germany,4,3,2,9,1900,0,33
18,8,Italy,3,2,0,5,1900,0,23
19,9,Australia,2,0,3,5,1900,0,2
20,10,Denmark,1,3,2,6,1900,0,11
21,11,Hungary,1,2,2,5,1900,0,18
22,12,Cuba,1,1,0,2,1900,0,1
23,13,Canada,1,0,1,2,1900,0,4
24,14,Spain,1,0,0,1,1900,0,4
25,14,Luxembourg,1,0,0,1,1900,0,1
26,16,Austria,0,3,3,6,1900,0,15
27,17,Norway,0,2,3,5,1900,0,7
28,17,Netherlands,0,2,3,5,1900,0,18
29,19,India,0,2,0,2,1900,0,1
30,20,Bohemia,0,1,1,2,1900,0,7
31,21,Sweden,0,0,1,1,1900,0,10
32,1,United_States,76,78,77,231,1904,1,417
33,2,Germany,4,5,6,15,1904,0,22
34,3,Canada,4,1,1,6,1904,0,9
35,4,Cuba,3,0,0,3,1904,0,3
36,5,Hungary,2,1,1,4,1904,0,4
37,5,Mixed_team,2,1,1,4,1904,0,4
38,7,Norway,2,0,0,2,1904,0,3
39,8,Austria,1,1,1,3,1904,0,2
40,9,Great_Britain,1,1,0,2,1904,0,6
41,10,Switzerland,1,0,2,3,1904,0,3
42,11,Greece,1,0,1,2,1904,0,11
43,12,Australia,0,3,1,4,1904,0,2
44,13,France,0,1,0,1,1904,0,1
45,1,Great_Britain,56,51,39,146,1908,1,550
46,2,United_States,23,12,12,47,1908,0,119
47,3,Sweden,8,6,11,25,1908,0,151
48,4,France,5,5,9,19,1908,0,182
49,5,Germany,3,5,5,13,1908,0,80
50,6,Hungary,3,4,2,9,1908,0,56
51,7,Canada,3,3,10,16,1908,0,76
52,8,Norway,2,3,3,8,1908,0,55
53,9,Italy,2,2,0,4,1908,0,66
54,10,Belgium,1,5,2,8,1908,0,58
55,11,Australasia,1,2,2,5,1908,0,30
56,12,Russian_Empire,1,2,0,3,1908,0,30
57,13,Finland,1,1,3,5,1908,0,62
58,14,South_Africa,1,1,0,2,1908,0,14
59,15,Greece,0,3,1,4,1908,0,20
60,16,Denmark,0,2,3,5,1908,0,78
61,17,Bohemia,0,0,2,2,1908,0,19
62,17,Netherlands,0,0,2,2,1908,0,109
63,19,Austria,0,0,1,1,1908,0,7
64,1,United_States,26,19,19,64,1912,0,172
65,2,Sweden,23,25,17,65,1912,1,365
66,3,Great_Britain,10,15,16,41,1912,0,225
67,4,Finland,9,8,9,26,1912,0,132
68,5,France,7,4,3,14,1912,0,99
69,6,Germany,5,13,7,25,1912,0,162
70,7,South_Africa,4,2,0,6,1912,0,21
71,8,Norway,3,2,5,10,1912,0,147
72,9,Canada,3,2,3,8,1912,0,28
73,9,Hungary,3,2,3,8,1912,0,112
74,11,Italy,3,1,2,6,1912,0,66
75,12,Australasia,2,2,3,7,1912,0,16
76,13,Belgium,2,1,3,6,1912,0,31
77,14,Denmark,1,6,5,12,1912,0,131
78,15,Greece,1,0,1,2,1912,0,22
79,16,Russian_Empire,0,2,3,5,1912,0,22
80,17,Austria,0,2,2,4,1912,0,80
81,18,Netherlands,0,0,3,3,1912,0,33
82,1,United_States,41,27,27,95,1920,0,285
83,2,Sweden,19,20,25,64,1920,0,245
84,3,Finland,15,10,9,34,1920,0,63
85,4,Great_Britain,14,15,13,42,1920,0,225
86,5,Belgium,14,11,11,36,1920,1,318
87,6,Norway,13,9,9,31,1920,0,134
88,7,Italy,13,5,5,23,1920,0,173
89,8,France,9,19,13,41,1920,0,298
90,9,Netherlands,4,2,5,11,1920,0,122
91,10,Denmark,3,9,1,13,1920,0,151
92,11,South_Africa,3,4,3,10,1920,0,38
93,12,Canada,3,3,3,9,1920,0,52
94,13,Switzerland,2,2,7,11,1920,0,77
95,14,Estonia,1,2,0,3,1920,0,14
96,15,Brazil,1,1,1,3,1920,0,19
97,16,Australia,0,2,1,3,1920,0,13
98,17,Japan,0,2,0,2,1920,0,15
99,17,Spain,0,2,0,2,1920,0,58
100,19,Greece,0,1,0,1,1920,0,47
101,19,Luxembourg,0,1,0,1,1920,0,25
102,21,Czechoslovakia,0,0,2,2,1920,0,118
103,22,New_Zealand,0,0,1,1,1920,0,4
104,1,United_States,45,27,27,99,1924,0,296
105,2,Finland,14,13,10,37,1924,0,121
106,3,France,13,15,10,38,1924,1,391
107,4,Great_Britain,9,13,12,34,1924,0,261
108,5,Italy,8,3,5,16,1924,0,196
109,6,Switzerland,7,8,10,25,1924,0,141
110,7,Norway,5,2,3,10,1924,0,54
111,8,Sweden,4,13,12,29,1924,0,154
112,9,Netherlands,4,1,5,10,1924,0,174
113,10,Belgium,3,7,3,13,1924,0,165
114,11,Australia,3,1,2,6,1924,0,36
115,12,Denmark,2,5,2,9,1924,0,86
116,13,Hungary,2,3,4,9,1924,0,89
117,14,Yugoslavia,2,0,0,2,1924,0,42
118,15,Czechoslovakia,1,4,5,10,1924,0,132
119,16,Argentina,1,3,2,6,1924,0,72
120,17,Estonia,1,1,4,6,1924,0,37
121,18,South_Africa,1,1,1,3,1924,0,30
122,19,Uruguay,1,0,0,1,1924,0,26
123,20,Austria,0,3,1,4,1924,0,49
124,20,Canada,0,3,1,4,1924,0,65
125,22,Poland,0,1,1,2,1924,0,65
126,23,Haiti,0,0,1,1,1924,0,8
127,23,Japan,0,0,1,1,1924,0,19
128,23,New_Zealand,0,0,1,1,1924,0,4
129,23,Portugal,0,0,1,1,1924,0,28
130,23,Romania,0,0,1,1,1924,0,35
131,1,United_States,22,18,16,56,1928,0,268
132,2,Germany,10,7,14,31,1928,0,288
133,3,Finland,8,8,9,25,1928,0,69
134,4,Sweden,7,6,12,25,1928,0,90
135,5,Italy,7,5,7,19,1928,0,163
136,6,Switzerland,7,4,4,15,1928,0,133
137,7,France,6,10,5,21,1928,0,244
138,8,Netherlands,6,9,4,19,1928,1,255
139,9,Hungary,4,5,0,9,1928,0,104
140,10,Canada,4,4,7,15,1928,0,69
141,11,Great_Britain,3,10,7,20,1928,0,225
142,12,Argentina,3,3,1,7,1928,0,76
143,13,Denmark,3,1,2,6,1928,0,87
144,14,Czechoslovakia,2,5,2,9,1928,0,69
145,15,Japan,2,2,1,5,1928,0,40
146,16,Estonia,2,1,2,5,1928,0,15
147,17,Egypt,2,1,1,4,1928,0,32
148,18,Austria,2,0,1,3,1928,0,73
149,19,Australia,1,2,1,4,1928,0,18
150,19,Norway,1,2,1,4,1928,0,44
151,21,Poland,1,1,3,5,1928,0,93
152,21,Yugoslavia,1,1,3,5,1928,0,34
153,23,South_Africa,1,0,2,3,1928,0,24
154,24,India,1,0,0,1,1928,0,21
155,24,Ireland,1,0,0,1,1928,0,38
156,24,New_Zealand,1,0,0,1,1928,0,9
157,24,Spain,1,0,0,1,1928,0,75
158,24,Uruguay,1,0,0,1,1928,0,17
159,29,Belgium,0,1,2,3,1928,0,182
160,30,Chile,0,1,0,1,1928,0,38
161,30,Haiti,0,1,0,1,1928,0,2
162,32,Philippines,0,0,1,1,1928,0,4
163,32,Portugal,0,0,1,1,1928,0,27
164,1,United_States,44,36,30,110,1932,1,445
165,2,Italy,12,12,12,36,1932,0,112
166,3,France,11,5,4,20,1932,0,101
167,4,Sweden,10,5,9,24,1932,0,75
168,5,Japan,7,7,4,18,1932,0,157
169,6,Hungary,6,5,5,16,1932,0,58
170,7,Germany,5,12,7,24,1932,0,145
171,8,Finland,5,8,12,25,1932,0,40
172,9,Great_Britain,5,7,5,17,1932,0,106
173,10,Poland,3,2,4,9,1932,0,51
174,11,Australia,3,1,1,5,1932,0,13
175,12,Argentina,3,1,0,4,1932,0,33
176,13,Canada,2,5,9,16,1932,0,90
177,14,Netherlands,2,5,1,8,1932,0,45
178,15,South_Africa,2,0,3,5,1932,0,11
179,16,Ireland,2,0,0,2,1932,0,16
180,17,Czechoslovakia,1,3,2,6,1932,0,25
181,18,Austria,1,1,3,5,1932,0,19
182,19,India,1,0,0,1,1932,0,19
183,20,Denmark,0,5,3,8,1932,0,43
184,21,Mexico,0,2,0,2,1932,0,72
185,22,Latvia,0,1,0,1,1932,0,5
186,22,New_Zealand,0,1,0,1,1932,0,21
187,22,Switzerland,0,1,0,1,1932,0,7
188,25,Philippines,0,0,3,3,1932,0,8
189,26,Belgium,0,0,1,1,1932,0,36
190,26,Spain,0,0,1,1,1932,0,7
191,26,Uruguay,0,0,1,1,1932,0,2
192,1,Germany,38,31,32,101,1936,1,419
193,2,United_States,24,21,12,57,1936,0,340
194,3,Hungary,10,1,5,16,1936,0,215
195,4,Italy,9,13,5,27,1936,0,230
196,5,Finland,8,6,6,20,1936,0,96
197,6,France,7,6,6,19,1936,0,187
198,7,Sweden,6,5,10,21,1936,0,156
199,8,Japan,6,4,10,20,1936,0,217
200,9,Netherlands,6,4,7,17,1936,0,157
201,10,Austria,5,7,5,17,1936,0,233
202,11,Switzerland,4,9,5,18,1936,0,184
203,12,Great_Britain,4,7,3,14,1936,0,194
204,13,Czechoslovakia,3,5,1,9,1936,0,189
205,14,Argentina,2,2,3,7,1936,0,40
206,14,Estonia,2,2,3,7,1936,0,32
207,16,Egypt,2,1,2,5,1936,0,53
208,17,Canada,1,3,5,9,1936,0,96
209,18,Norway,1,3,2,6,1936,0,56
210,19,Turkey,1,0,1,2,1936,0,45
211,20,India,1,0,0,1,1936,0,27
212,20,New_Zealand,1,0,0,1,1936,0,7
213,22,Poland,0,4,5,9,1936,0,139
214,23,Denmark,0,2,3,5,1936,0,114
215,24,Latvia,0,1,1,2,1936,0,29
216,25,Romania,0,1,0,1,1936,0,54
217,25,South_Africa,0,1,0,1,1936,0,32
218,25,Yugoslavia,0,1,0,1,1936,0,92
219,28,Belgium,0,0,3,3,1936,0,147
220,28,Mexico,0,0,3,3,1936,0,32
221,30,Australia,0,0,1,1,1936,0,32
222,30,Philippines,0,0,1,1,1936,0,28
223,30,Portugal,0,0,1,1,1936,0,16
224,1,United_States,38,27,19,84,1948,0,279
225,2,Sweden,16,11,17,44,1948,0,168
226,3,France,10,6,13,29,1948,0,304
227,4,Hungary,10,5,12,27,1948,0,128
228,5,Italy,8,11,8,27,1948,0,201
229,6,Finland,8,7,5,20,1948,0,118
230,7,Turkey,6,4,2,12,1948,0,58
231,8,Czechoslovakia,6,2,3,11,1948,0,87
232,9,Switzerland,5,10,5,20,1948,0,178
233,10,Denmark,5,7,8,20,1948,0,152
234,11,Netherlands,5,2,9,16,1948,0,142
235,12,Great_Britain,3,14,6,23,1948,1,395
236,13,Argentina,3,3,1,7,1948,0,187
237,14,Australia,2,6,5,13,1948,0,73
238,15,Belgium,2,2,3,7,1948,0,140
239,16,Egypt,2,2,1,5,1948,0,85
240,17,Mexico,2,1,2,5,1948,0,88
241,18,South_Africa,2,1,1,4,1948,0,35
242,19,Norway,1,3,3,7,1948,0,71
243,20,Jamaica,1,2,0,3,1948,0,13
244,21,Austria,1,0,3,4,1948,0,145
245,22,India,1,0,0,1,1948,0,79
246,22,Peru,1,0,0,1,1948,0,41
247,24,Yugoslavia,0,2,0,2,1948,0,90
248,25,Canada,0,1,2,3,1948,0,123
249,26,Portugal,0,1,1,2,1948,0,40
250,26,Uruguay,0,1,1,2,1948,0,59
251,28,Ceylon,0,1,0,1,1948,0,59
252,28,Cuba,0,1,0,1,1948,0,51
253,28,Spain,0,1,0,1,1948,0,62
254,28,Trinidad_and_Tobago,0,1,0,1,1948,0,5
255,32,Panama,0,0,2,2,1948,0,1
256,32,South_Korea,0,0,2,2,1948,0,46
257,34,Brazil,0,0,1,1,1948,0,66
258,34,Iran,0,0,1,1,1948,0,36
259,34,Poland,0,0,1,1,1948,0,38
260,34,Puerto_Rico,0,0,1,1,1948,0,9
261,1,United_States,40,19,17,76,1952,0,264
262,2,Soviet_Union,22,30,19,71,1952,0,287
263,3,Hungary,16,10,16,42,1952,0,188
264,4,Sweden,12,13,10,35,1952,0,192
265,5,Italy,8,9,4,21,1952,0,218
266,6,Czechoslovakia,7,3,3,13,1952,0,99
267,7,France,6,6,6,18,1952,0,237
268,8,Finland,6,3,13,22,1952,1,245
269,9,Australia,6,2,3,11,1952,0,76
270,10,Norway,3,2,0,5,1952,0,91
271,11,Switzerland,2,6,6,14,1952,0,147
272,12,South_Africa,2,4,4,10,1952,0,61
273,13,Jamaica,2,3,0,5,1952,0,8
274,14,Belgium,2,2,0,4,1952,0,131
275,15,Denmark,2,1,3,6,1952,0,122
276,16,Turkey,2,0,1,3,1952,0,51
277,17,Japan,1,6,2,9,1952,0,69
278,18,Great_Britain,1,2,8,11,1952,0,243
279,19,Argentina,1,2,2,5,1952,0,110
280,20,Poland,1,2,1,4,1952,0,125
281,21,Canada,1,2,0,3,1952,0,97
282,21,Yugoslavia,1,2,0,3,1952,0,85
283,23,Romania,1,1,2,4,1952,0,114
284,24,Brazil,1,0,2,3,1952,0,92
285,24,New_Zealand,1,0,2,3,1952,0,14
286,26,India,1,0,1,2,1952,0,64
287,27,Luxembourg,1,0,0,1,1952,0,44
288,28,Germany,0,7,17,24,1952,0,192
289,29,Netherlands,0,5,0,5,1952,0,96
290,30,Iran,0,3,4,7,1952,0,22
291,31,Chile,0,2,0,2,1952,0,59
292,32,Austria,0,1,1,2,1952,0,110
293,32,Lebanon,0,1,1,2,1952,0,9
294,34,Ireland,0,1,0,1,1952,0,19
295,34,Mexico,0,1,0,1,1952,0,64
296,34,Spain,0,1,0,1,1952,0,27
297,37,South_Korea,0,0,2,2,1952,0,19
298,37,Trinidad_and_Tobago,0,0,2,2,1952,0,2
299,37,Uruguay,0,0,2,2,1952,0,32
300,40,Bulgaria,0,0,1,1,1952,0,63
301,40,Egypt,0,0,1,1,1952,0,106
302,40,Portugal,0,0,1,1,1952,0,63
303,40,Venezuela,0,0,1,1,1952,0,38
304,1,Soviet_Union,37,29,32,98,1956,0,271
305,2,United_States,32,25,17,74,1956,0,289
306,3,Australia,13,8,14,35,1956,1,288
307,4,Hungary,9,10,7,26,1956,0,111
308,5,Italy,8,8,9,25,1956,0,124
309,6,Sweden,8,5,6,19,1956,0,91
310,7,United_Team_of_Germany,6,13,7,26,1956,0,91
311,8,Great_Britain,6,7,11,24,1956,0,186
312,9,Romania,5,3,5,13,1956,0,50
313,10,Japan,4,10,5,19,1956,0,112
314,11,France,4,4,6,14,1956,0,138
315,12,Turkey,3,2,2,7,1956,0,19
316,13,Finland,3,1,11,15,1956,0,68
317,14,Iran,2,2,1,5,1956,0,17
318,15,Canada,2,1,3,6,1956,0,89
319,16,New_Zealand,2,0,0,2,1956,0,46
320,17,Poland,1,4,4,9,1956,0,64
321,18,Czechoslovakia,1,4,1,6,1956,0,63
322,19,Bulgaria,1,3,1,5,1956,0,46
323,20,Denmark,1,2,1,4,1956,0,34
324,21,Ireland,1,1,3,5,1956,0,18
325,22,Norway,1,0,2,3,1956,0,16
326,23,Mexico,1,0,1,2,1956,0,24
327,24,Brazil,1,0,0,1,1956,0,45
328,24,India,1,0,0,1,1956,0,58
329,26,Yugoslavia,0,3,0,3,1956,0,35
330,27,Chile,0,2,2,4,1956,0,33
331,28,Belgium,0,2,0,2,1956,0,57
332,29,Argentina,0,1,1,2,1956,0,30
333,29,South_Korea,0,1,1,2,1956,0,35
334,31,Iceland,0,1,0,1,1956,0,2
335,31,Pakistan,0,1,0,1,1956,0,53
336,33,South_Africa,0,0,4,4,1956,0,45
337,34,Austria,0,0,2,2,1956,0,34
338,35,Bahamas,0,0,1,1,1956,0,2
339,35,Greece,0,0,1,1,1956,0,11
340,35,Switzerland,0,0,1,1,1956,0,9
341,35,Uruguay,0,0,1,1,1956,0,21
342,1,Soviet_Union,43,29,31,103,1960,0,273
343,2,United_States,34,21,16,71,1960,0,279
344,3,Italy,13,10,13,36,1960,1,270
345,4,United_Team_of_Germany,12,19,11,42,1960,0,270
346,5,Australia,8,8,6,22,1960,0,179
347,6,Turkey,7,2,0,9,1960,0,49
348,7,Hungary,6,8,7,21,1960,0,179
349,8,Japan,4,7,7,18,1960,0,156
350,9,Poland,4,6,11,21,1960,0,185
351,10,Czechoslovakia,3,2,3,8,1960,0,116
352,11,Romania,3,1,6,10,1960,0,98
353,12,Great_Britain,2,6,12,20,1960,0,243
354,13,Denmark,2,3,1,6,1960,0,91
355,14,New_Zealand,2,0,1,3,1960,0,35
356,15,Bulgaria,1,3,3,7,1960,0,97
357,16,Sweden,1,2,3,6,1960,0,123
358,17,Finland,1,1,3,5,1960,0,109
359,18,Austria,1,1,0,2,1960,0,96
360,18,Yugoslavia,1,1,0,2,1960,0,114
361,20,Pakistan,1,0,1,2,1960,0,43
362,21,Ethiopia,1,0,0,1,1960,0,10
363,21,Greece,1,0,0,1,1960,0,41
364,21,Norway,1,0,0,1,1960,0,32
365,24,Switzerland,0,3,3,6,1960,0,139
366,25,France,0,2,3,5,1960,0,228
367,26,Belgium,0,2,2,4,1960,0,98
368,27,Iran,0,1,3,4,1960,0,23
369,28,Netherlands,0,1,2,3,1960,0,104
370,28,South_Africa,0,1,2,3,1960,0,53
371,30,Argentina,0,1,1,2,1960,0,84
372,30,Egypt,0,1,1,2,1960,0,84
373,32,Canada,0,1,0,1,1960,0,75
374,32,Formosa,0,1,0,1,1960,0,75
375,32,Ghana,0,1,0,1,1960,0,13
376,32,India,0,1,0,1,1960,0,45
377,32,Morocco,0,1,0,1,1960,0,47
378,32,Portugal,0,1,0,1,1960,0,55
379,32,Singapore,0,1,0,1,1960,0,2
380,39,Brazil,0,0,2,2,1960,0,68
381,39,British_West_Indies,0,0,2,2,1960,0,68
382,41,Iraq,0,0,1,1,1960,0,21
383,41,Mexico,0,0,1,1,1960,0,67
384,41,Spain,0,0,1,1,1960,0,133
385,41,Venezuela,0,0,1,1,1960,0,34
386,1,United_States,36,26,28,90,1964,0,334
387,2,Soviet_Union,30,31,35,96,1964,0,306
388,3,Japan,16,5,8,29,1964,1,318
389,4,United_Team_of_Germany,10,22,18,50,1964,0,318
390,5,Italy,10,10,7,27,1964,0,157
391,6,Hungary,10,7,5,22,1964,0,182
392,7,Poland,7,6,10,23,1964,0,139
393,8,Australia,6,2,10,18,1964,0,233
394,9,Czechoslovakia,5,6,3,14,1964,0,104
395,10,Great_Britain,4,12,2,18,1964,0,196
396,11,Bulgaria,3,5,2,10,1964,0,63
397,12,Finland,3,0,2,5,1964,0,84
398,12,New_Zealand,3,0,2,5,1964,0,61
399,14,Romania,2,4,6,12,1964,0,138
400,15,Netherlands,2,4,4,10,1964,0,119
401,16,Turkey,2,3,1,6,1964,0,23
402,17,Sweden,2,2,4,8,1964,0,84
403,18,Denmark,2,1,3,6,1964,0,52
404,19,Yugoslavia,2,1,2,5,1964,0,75
405,20,Belgium,2,0,1,3,1964,0,61
406,21,France,1,8,6,15,1964,0,136
407,22,Canada,1,2,1,4,1964,0,105
408,22,Switzerland,1,2,1,4,1964,0,59
409,24,Bahamas,1,0,0,1,1964,0,3
410,24,Ethiopia,1,0,0,1,1964,0,12
411,24,India,1,0,0,1,1964,0,52
412,27,South_Korea,0,2,1,3,1964,0,153
413,28,Trinidad_and_Tobago,0,1,2,3,1964,0,11
414,29,Tunisia,0,1,1,2,1964,0,9
415,30,Argentina,0,1,0,1,1964,0,97
416,30,Cuba,0,1,0,1,1964,0,27
417,30,Pakistan,0,1,0,1,1964,0,41
418,30,Philippines,0,1,0,1,1964,0,44
419,34,Iran,0,0,2,2,1964,0,62
420,35,Brazil,0,0,1,1,1964,0,57
421,35,Ghana,0,0,1,1,1964,0,33
422,35,Ireland,0,0,1,1,1964,0,22
423,35,Kenya,0,0,1,1,1964,0,37
424,35,Mexico,0,0,1,1,1964,0,83
425,35,Nigeria,0,0,1,1,1964,0,18
426,35,Uruguay,0,0,1,1,1964,0,23
427,1,United_States,45,28,34,107,1968,0,355
428,2,Soviet_Union,29,32,30,91,1968,0,311
429,3,Japan,11,7,7,25,1968,0,171
430,4,Hungary,10,10,12,32,1968,0,166
431,5,East_Germany,9,9,7,25,1968,0,225
432,6,France,7,3,5,15,1968,0,200
433,7,Czechoslovakia,7,2,4,13,1968,0,121
434,8,West_Germany,5,11,10,26,1968,0,275
435,9,Australia,5,7,5,17,1968,0,128
436,10,Great_Britain,5,5,3,13,1968,0,225
437,11,Poland,5,2,11,18,1968,0,177
438,12,Romania,4,6,5,15,1968,0,82
439,13,Italy,3,4,9,16,1968,0,167
440,14,Kenya,3,4,2,9,1968,0,39
441,15,Mexico,3,3,3,9,1968,1,272
442,16,Yugoslavia,3,3,2,8,1968,0,69
443,17,Netherlands,3,3,1,7,1968,0,107
444,18,Bulgaria,2,4,3,9,1968,0,112
445,19,Iran,2,1,2,5,1968,0,14
446,20,Sweden,2,1,1,4,1968,0,100
447,21,Turkey,2,0,0,2,1968,0,29
448,22,Denmark,1,4,3,8,1968,0,62
449,23,Canada,1,3,1,5,1968,0,139
450,24,Finland,1,2,1,4,1968,0,66
451,25,Ethiopia,1,1,0,2,1968,0,18
452,25,Norway,1,1,0,2,1968,0,46
453,27,New_Zealand,1,0,2,3,1968,0,52
454,28,Tunisia,1,0,1,2,1968,0,7
455,29,Pakistan,1,0,0,1,1968,0,15
456,29,Venezuela,1,0,0,1,1968,0,23
457,31,Cuba,0,4,0,4,1968,0,115
458,32,Austria,0,2,2,4,1968,0,43
459,33,Switzerland,0,1,4,5,1968,0,85
460,34,Mongolia,0,1,3,4,1968,0,16
461,35,Brazil,0,1,2,3,1968,0,75
462,36,Belgium,0,1,1,2,1968,0,82
463,36,South_Korea,0,1,1,2,1968,0,54
464,36,Uganda,0,1,1,2,1968,0,11
465,39,Cameroon,0,1,0,1,1968,0,5
466,39,Jamaica,0,1,0,1,1968,0,25
467,41,Argentina,0,0,2,2,1968,0,89
468,42,Greece,0,0,1,1,1968,0,44
469,42,India,0,0,1,1,1968,0,23
470,42,Taiwan,0,0,1,1,1968,0,23
471,1,Soviet_Union,50,27,22,99,1972,0,371
472,2,United_States,33,31,30,94,1972,0,393
473,3,East_Germany,20,23,23,66,1972,0,291
474,4,West_Germany,13,11,16,40,1972,1,418
475,5,Japan,13,8,8,29,1972,0,184
476,6,Australia,8,7,2,17,1972,0,168
477,7,Poland,7,5,9,21,1972,0,284
478,8,Hungary,6,13,16,35,1972,0,226
479,9,Bulgaria,6,10,5,21,1972,0,129
480,10,Italy,5,3,10,18,1972,0,223
481,11,Sweden,4,6,6,16,1972,0,131
482,12,Great_Britain,4,5,9,18,1972,0,280
