Unnamed: 0,Rank,NOC,Gold,Silver,Bronze,Total,Year,Host,Number_of_people
483,13,Romania,3,6,7,16,1972,0,159
484,14,Cuba,3,1,4,8,1972,0,137
485,14,Finland,3,1,4,8,1972,0,96
486,16,Netherlands,3,1,1,5,1972,0,119
487,17,France,2,4,7,13,1972,0,227
488,18,Czechoslovakia,2,4,2,8,1972,0,175
489,19,Kenya,2,3,4,9,1972,0,57
490,20,Yugoslavia,2,1,2,5,1972,0,122
491,21,Norway,2,1,1,4,1972,0,112
492,22,North_Korea,1,1,3,5,1972,0,37
493,23,New_Zealand,1,1,1,3,1972,0,89
494,24,Uganda,1,1,0,2,1972,0,33
495,25,Denmark,1,0,0,1,1972,0,126
496,26,Switzerland,0,3,0,3,1972,0,151
497,27,Canada,0,2,3,5,1972,0,207
498,28,Iran,0,2,1,3,1972,0,48
499,29,Belgium,0,2,0,2,1972,0,88
500,29,Greece,0,2,0,2,1972,0,60
501,31,Austria,0,1,2,3,1972,0,111
502,31,Colombia,0,1,2,3,1972,0,59
503,33,Argentina,0,1,0,1,1972,0,92
504,33,Lebanon,0,1,0,1,1972,0,19
505,33,Mexico,0,1,0,1,1972,0,171
506,33,Mongolia,0,1,0,1,1972,0,39
507,33,Pakistan,0,1,0,1,1972,0,24
508,33,South_Korea,0,1,0,1,1972,0,42
509,33,Tunisia,0,1,0,1,1972,0,35
510,33,Turkey,0,1,0,1,1972,0,43
511,41,Brazil,0,0,2,2,1972,0,80
512,41,Ethiopia,0,0,2,2,1972,0,31
513,43,Ghana,0,0,1,1,1972,0,35
514,43,India,0,0,1,1,1972,0,41
515,43,Jamaica,0,0,1,1,1972,0,32
516,43,Niger,0,0,1,1,1972,0,4
517,43,Nigeria,0,0,1,1,1972,0,25
518,43,Spain,0,0,1,1,1972,0,122
519,1,Soviet_Union,49,41,35,125,1976,0,408
520,2,East_Germany,40,25,25,90,1976,0,267
521,3,United_States,34,35,25,94,1976,0,391
522,4,West_Germany,10,12,17,39,1976,0,290
523,5,Japan,9,6,10,25,1976,0,213
524,6,Poland,7,6,13,26,1976,0,207
525,7,Bulgaria,6,9,7,22,1976,0,155
526,8,Cuba,6,4,3,13,1976,0,156
527,9,Romania,4,9,14,27,1976,0,157
528,10,Hungary,4,5,13,22,1976,0,177
529,11,Finland,4,2,0,6,1976,0,83
530,12,Sweden,4,1,0,5,1976,0,116
531,13,Great_Britain,3,5,5,13,1976,0,242
532,14,Italy,2,7,4,13,1976,0,209
533,15,France,2,3,4,9,1976,0,206
534,16,Yugoslavia,2,3,3,8,1976,0,88
535,17,Czechoslovakia,2,2,4,8,1976,0,163
536,18,New_Zealand,2,1,1,4,1976,0,80
537,19,South_Korea,1,1,4,6,1976,0,50
538,20,Switzerland,1,1,2,4,1976,0,50
539,21,Jamaica,1,1,0,2,1976,0,20
540,21,North_Korea,1,1,0,2,1976,0,38
541,21,Norway,1,1,0,2,1976,0,66
542,24,Denmark,1,0,2,3,1976,0,66
543,25,Mexico,1,0,1,2,1976,0,96
544,26,Trinidad_and_Tobago,1,0,0,1,1976,0,13
545,27,Canada,0,5,6,11,1976,1,385
546,28,Belgium,0,3,3,6,1976,0,101
547,29,Netherlands,0,2,3,5,1976,0,108
548,30,Portugal,0,2,0,2,1976,0,19
549,30,Spain,0,2,0,2,1976,0,113
550,32,Australia,0,1,4,5,1976,0,180
551,33,Iran,0,1,1,2,1976,0,84
552,34,Mongolia,0,1,0,1,1976,0,32
553,34,Venezuela,0,1,0,1,1976,0,32
554,36,Brazil,0,0,2,2,1976,0,79
555,37,Austria,0,0,1,1,1976,0,60
556,37,Bermuda,0,0,1,1,1976,0,16
557,37,Pakistan,0,0,1,1,1976,0,24
558,37,Puerto_Rico,0,0,1,1,1976,0,80
559,37,Thailand,0,0,1,1,1976,0,42
560,1,Soviet_Union,80,69,46,195,1980,1,489
561,2,East_Germany,47,37,42,126,1980,0,346
562,3,Bulgaria,8,16,17,41,1980,0,270
563,4,Cuba,8,7,5,20,1980,0,203
564,5,Italy,8,3,4,15,1980,0,159
565,6,Hungary,7,10,15,32,1980,0,260
566,7,Romania,6,6,13,25,1980,0,226
567,8,France,6,5,3,14,1980,0,121
568,9,Great_Britain,5,7,9,21,1980,0,219
569,10,Poland,3,14,15,32,1980,0,305
570,11,Sweden,3,3,6,12,1980,0,144
571,12,Finland,3,1,4,8,1980,0,105
572,13,Czechoslovakia,2,3,9,14,1980,0,209
573,14,Yugoslavia,2,3,4,9,1980,0,164
574,15,Australia,2,2,5,9,1980,0,120
575,16,Denmark,2,1,2,5,1980,0,58
576,17,Brazil,2,0,2,4,1980,0,106
577,17,Ethiopia,2,0,2,4,1980,0,41
578,19,Switzerland,2,0,0,2,1980,0,73
579,20,Spain,1,3,2,6,1980,0,155
580,21,Austria,1,2,1,4,1980,0,83
581,22,Greece,1,0,2,3,1980,0,41
582,23,Belgium,1,0,0,1,1980,0,59
583,23,India,1,0,0,1,1980,0,71
584,23,Zimbabwe,1,0,0,1,1980,0,42
585,26,North_Korea,0,3,2,5,1980,0,47
586,27,Mongolia,0,2,2,4,1980,0,43
587,28,Tanzania,0,2,0,2,1980,0,41
588,29,Mexico,0,1,3,4,1980,0,45
589,30,Netherlands,0,1,2,3,1980,0,75
590,31,Ireland,0,1,1,2,1980,0,47
591,32,Uganda,0,1,0,1,1980,0,13
592,32,Venezuela,0,1,0,1,1980,0,37
593,34,Jamaica,0,0,3,3,1980,0,18
594,35,Guyana,0,0,1,1,1980,0,8
595,35,Lebanon,0,0,1,1,1980,0,15
596,1,United_States,83,61,30,174,1984,1,519
597,2,Romania,20,16,17,53,1984,0,124
598,3,West_Germany,17,19,23,59,1984,0,389
599,4,China,15,8,9,32,1984,0,215
600,5,Italy,14,6,12,32,1984,0,268
601,6,Canada,10,18,16,44,1984,0,408
602,7,Japan,10,8,14,32,1984,0,226
603,8,New_Zealand,8,1,2,11,1984,0,130
604,9,Yugoslavia,7,4,7,18,1984,0,139
605,10,South_Korea,6,6,7,19,1984,0,174
606,11,Great_Britain,5,11,21,37,1984,0,337
607,12,France,5,7,16,28,1984,0,238
608,13,Netherlands,5,2,6,13,1984,0,135
609,14,Australia,4,8,12,24,1984,0,242
610,15,Finland,4,2,6,12,1984,0,86
611,16,Sweden,2,11,6,19,1984,0,172
612,17,Mexico,2,3,1,6,1984,0,98
613,18,Morocco,2,0,0,2,1984,0,34
614,19,Brazil,1,5,2,8,1984,0,147
615,20,Spain,1,2,2,5,1984,0,179
616,21,Belgium,1,1,2,4,1984,0,63
617,22,Austria,1,1,1,3,1984,0,102
618,23,Kenya,1,0,2,3,1984,0,61
619,23,Portugal,1,0,2,3,1984,0,38
620,25,Pakistan,1,0,0,1,1984,0,31
621,26,Switzerland,0,4,4,8,1984,0,129
622,27,Denmark,0,3,3,6,1984,0,60
623,28,Jamaica,0,1,2,3,1984,0,45
624,28,Norway,0,1,2,3,1984,0,103
625,30,Greece,0,1,1,2,1984,0,63
626,30,Nigeria,0,1,1,2,1984,0,32
627,30,Puerto_Rico,0,1,1,2,1984,0,51
628,33,Colombia,0,1,0,1,1984,0,39
629,33,Egypt,0,1,0,1,1984,0,113
630,33,Ireland,0,1,0,1,1984,0,42
631,33,Ivory_Coast,0,1,0,1,1984,0,42
632,33,Peru,0,1,0,1,1984,0,35
633,33,Syria,0,1,0,1,1984,0,9
634,33,Thailand,0,1,0,1,1984,0,35
635,40,Turkey,0,0,3,3,1984,0,46
636,40,Venezuela,0,0,3,3,1984,0,26
637,42,Algeria,0,0,2,2,1984,0,33
638,43,Cameroon,0,0,1,1,1984,0,46
639,43,Chinese_Taipei,0,0,1,1,1984,0,38
640,43,Dominican_Republic,0,0,1,1,1984,0,19
641,43,Iceland,0,0,1,1,1984,0,30
642,43,Zambia,0,0,1,1,1984,0,16
643,1,Soviet_Union,55,31,46,132,1988,0,479
644,2,East_Germany,37,35,30,102,1988,0,259
645,3,United_States,36,31,27,94,1988,0,526
646,4,South_Korea,12,10,11,33,1988,1,398
647,5,West_Germany,11,14,15,40,1988,0,345
648,6,Hungary,11,6,6,23,1988,0,188
649,7,Bulgaria,10,12,13,35,1988,0,172
650,8,Romania,7,11,6,24,1988,0,68
651,9,France,6,4,6,16,1988,0,266
652,10,Italy,6,4,4,14,1988,0,253
653,11,China,5,11,12,28,1988,0,270
654,12,Great_Britain,5,10,9,24,1988,0,344
655,13,Kenya,5,2,2,9,1988,0,74
656,14,Japan,4,3,7,14,1988,0,254
657,15,Australia,3,6,5,14,1988,0,252
658,16,Yugoslavia,3,4,5,12,1988,0,155
659,17,Czechoslovakia,3,3,2,8,1988,0,163
660,18,New_Zealand,3,2,8,13,1988,0,83
661,19,Canada,3,2,5,10,1988,0,328
662,20,Poland,2,5,9,16,1988,0,143
663,21,Norway,2,3,0,5,1988,0,69
664,22,Netherlands,2,2,5,9,1988,0,147
665,23,Denmark,2,1,1,4,1988,0,78
666,24,Brazil,1,2,3,6,1988,0,157
667,25,Finland,1,1,2,4,1988,0,78
668,25,Spain,1,1,2,4,1988,0,226
669,27,Turkey,1,1,0,2,1988,0,41
670,28,Morocco,1,0,2,3,1988,0,27
671,29,Austria,1,0,0,1,1988,0,73
672,29,Portugal,1,0,0,1,1988,0,65
673,29,Suriname,1,0,0,1,1988,0,6
674,32,Sweden,0,4,7,11,1988,0,181
675,33,Switzerland,0,2,2,4,1988,0,99
676,34,Jamaica,0,2,0,2,1988,0,35
677,35,Argentina,0,1,1,2,1988,0,118
678,36,Chile,0,1,0,1,1988,0,17
679,36,Costa_Rica,0,1,0,1,1988,0,16
680,36,Indonesia,0,1,0,1,1988,0,29
681,36,Iran,0,1,0,1,1988,0,23
682,36,Netherlands_Antilles,0,1,0,1,1988,0,3
683,36,Peru,0,1,0,1,1988,0,21
684,36,Senegal,0,1,0,1,1988,0,23
685,36,Virgin_Islands,0,1,0,1,1988,0,23
686,44,Belgium,0,0,2,2,1988,0,59
687,44,Mexico,0,0,2,2,1988,0,81
688,46,Colombia,0,0,1,1,1988,0,40
689,46,Djibouti,0,0,1,1,1988,0,6
690,46,Greece,0,0,1,1,1988,0,56
691,46,Mongolia,0,0,1,1,1988,0,28
692,46,Pakistan,0,0,1,1,1988,0,30
693,46,Philippines,0,0,1,1,1988,0,31
694,46,Thailand,0,0,1,1,1988,0,14
695,1,Unified_Team,45,38,29,112,1992,0,473
696,2,United_States,37,34,37,108,1992,0,534
697,3,Germany,33,21,28,82,1992,0,457
698,4,China,16,22,16,54,1992,0,233
699,5,Cuba,14,6,11,31,1992,0,176
700,6,Spain,13,7,2,22,1992,1,412
701,7,South_Korea,12,5,12,29,1992,0,215
702,8,Hungary,11,12,7,30,1992,0,215
703,9,France,8,5,16,29,1992,0,331
704,10,Australia,7,9,11,27,1992,0,278
705,11,Canada,7,4,7,18,1992,0,294
706,12,Italy,6,5,8,19,1992,0,304
707,13,Great_Britain,5,3,12,20,1992,0,359
708,14,Romania,4,6,8,18,1992,0,171
709,15,Czechoslovakia,4,2,1,7,1992,0,202
710,16,North_Korea,4,0,5,9,1992,0,62
711,17,Japan,3,8,11,22,1992,0,247
712,18,Bulgaria,3,7,6,16,1992,0,134
713,19,Poland,3,6,10,19,1992,0,199
714,20,Netherlands,2,6,7,15,1992,0,201
715,21,Kenya,2,4,2,8,1992,0,49
716,22,Norway,2,4,1,7,1992,0,83
717,23,Turkey,2,2,2,6,1992,0,41
718,24,Indonesia,2,2,1,5,1992,0,34
719,25,Brazil,2,1,0,3,1992,0,181
720,26,Greece,2,0,0,2,1992,0,70
721,27,Sweden,1,7,4,12,1992,0,182
722,28,New_Zealand,1,4,5,10,1992,0,134
723,29,Finland,1,2,2,5,1992,0,87
724,30,Denmark,1,1,4,6,1992,0,101
725,31,Morocco,1,1,1,3,1992,0,44
726,32,Ireland,1,1,0,2,1992,0,58
727,33,Ethiopia,1,0,2,3,1992,0,20
728,34,Algeria,1,0,1,2,1992,0,35
729,34,Estonia,1,0,1,2,1992,0,37
730,34,Lithuania,1,0,1,2,1992,0,47
731,37,Switzerland,1,0,0,1,1992,0,102
732,38,Jamaica,0,3,1,4,1992,0,36
733,38,Nigeria,0,3,1,4,1992,0,54
734,40,Latvia,0,2,1,3,1992,0,34
735,41,Austria,0,2,0,2,1992,0,102
736,41,Namibia,0,2,0,2,1992,0,6
737,41,South_Africa,0,2,0,2,1992,0,93
738,44,Belgium,0,1,2,3,1992,0,68
739,44,Croatia,0,1,2,3,1992,0,39
740,44,Independent_Olympic_Participants,0,1,2,3,1992,0,39
741,44,Iran,0,1,2,3,1992,0,36
742,48,Israel,0,1,1,2,1992,0,30
743,49,Chinese_Taipei,0,1,0,1,1992,0,31
744,49,Mexico,0,1,0,1,1992,0,102
745,49,Peru,0,1,0,1,1992,0,16
746,52,Mongolia,0,0,2,2,1992,0,33
747,52,Slovenia,0,0,2,2,1992,0,35
748,54,Argentina,0,0,1,1,1992,0,84
749,54,Bahamas,0,0,1,1,1992,0,14
750,54,Colombia,0,0,1,1,1992,0,49
751,54,Ghana,0,0,1,1,1992,0,34
752,54,Malaysia,0,0,1,1,1992,0,22
753,54,Pakistan,0,0,1,1,1992,0,27
754,54,Philippines,0,0,1,1,1992,0,26
755,54,Puerto_Rico,0,0,1,1,1992,0,69
756,54,Qatar,0,0,1,1,1992,0,28
757,54,Suriname,0,0,1,1,1992,0,6
758,54,Thailand,0,0,1,1,1992,0,46
759,1,United_States,44,32,25,101,1996,1,635
760,2,Russia,26,21,16,63,1996,0,389
761,3,Germany,20,18,27,65,1996,0,459
762,4,China,16,22,12,50,1996,0,277
763,5,France,15,7,15,37,1996,0,293
764,6,Italy,13,10,12,35,1996,0,340
765,7,Australia,9,9,23,41,1996,0,412
766,8,Cuba,9,8,8,25,1996,0,164
767,9,Ukraine,9,2,12,23,1996,0,231
768,10,South_Korea,7,15,5,27,1996,0,288
769,11,Poland,7,5,5,17,1996,0,161
770,12,Hungary,7,4,10,21,1996,0,212
771,13,Spain,5,6,6,17,1996,0,280
772,14,Romania,4,7,9,20,1996,0,165
773,15,Netherlands,4,5,10,19,1996,0,237
774,16,Greece,4,4,0,8,1996,0,121
775,17,Czech_Republic,4,3,4,11,1996,0,111
776,18,Switzerland,4,3,0,7,1996,0,115
777,19,Denmark,4,1,1,6,1996,0,112
778,19,Turkey,4,1,1,6,1996,0,53
779,21,Canada,3,11,8,22,1996,0,298
780,22,Bulgaria,3,7,5,15,1996,0,108
781,23,Japan,3,6,5,14,1996,0,296
782,24,Kazakhstan,3,4,4,11,1996,0,96
783,25,Brazil,3,3,9,15,1996,0,212
784,26,New_Zealand,3,2,1,6,1996,0,95
785,27,South_Africa,3,1,1,5,1996,0,84
786,28,Ireland,3,0,1,4,1996,0,78
787,29,Sweden,2,4,2,8,1996,0,174
788,30,Norway,2,2,3,7,1996,0,97
789,31,Belgium,2,2,2,6,1996,0,61
790,32,Nigeria,2,1,3,6,1996,0,65
791,33,North_Korea,2,1,2,5,1996,0,23
792,34,Algeria,2,0,1,3,1996,0,45
793,34,Ethiopia,2,0,1,3,1996,0,18
794,36,Great_Britain,1,8,6,15,1996,0,298
795,37,Belarus,1,6,8,15,1996,0,157
796,38,Kenya,1,4,3,8,1996,0,52
797,39,Jamaica,1,3,2,6,1996,0,46
798,40,Finland,1,2,1,4,1996,0,76
799,41,FR_Yugoslavia,1,1,2,4,1996,0,76
800,41,Indonesia,1,1,2,4,1996,0,28
801,43,Iran,1,1,1,3,1996,0,18
802,43,Slovakia,1,1,1,3,1996,0,67
803,45,Armenia,1,1,0,2,1996,0,32
804,45,Croatia,1,1,0,2,1996,0,84
805,47,Portugal,1,0,1,2,1996,0,106
806,47,Thailand,1,0,1,2,1996,0,33
807,49,Burundi,1,0,0,1,1996,0,7
808,49,Costa_Rica,1,0,0,1,1996,0,11
809,49,Ecuador,1,0,0,1,1996,0,19
810,49,Hong_Kong,1,0,0,1,1996,0,22
811,49,Syria,1,0,0,1,1996,0,7
812,54,Argentina,0,2,1,3,1996,0,179
813,55,Namibia,0,2,0,2,1996,0,8
814,55,Slovenia,0,2,0,2,1996,0,37
815,57,Austria,0,1,2,3,1996,0,70
816,58,Malaysia,0,1,1,2,1996,0,31
817,58,Moldova,0,1,1,2,1996,0,40
818,58,Uzbekistan,0,1,1,2,1996,0,71
819,61,Azerbaijan,0,1,0,1,1996,0,23
820,61,Bahamas,0,1,0,1,1996,0,26
821,61,Chinese_Taipei,0,1,0,1,1996,0,73
822,61,Latvia,0,1,0,1,1996,0,47
823,61,Philippines,0,1,0,1,1996,0,12
824,61,Tonga,0,1,0,1,1996,0,5
825,61,Zambia,0,1,0,1,1996,0,8
826,68,Georgia,0,0,2,2,1996,0,34
827,68,Morocco,0,0,2,2,1996,0,34
828,68,Trinidad_and_Tobago,0,0,2,2,1996,0,12
829,71,India,0,0,1,1,1996,0,49
830,71,Israel,0,0,1,1,1996,0,25
831,71,Lithuania,0,0,1,1,1996,0,61
832,71,Mexico,0,0,1,1,1996,0,97
833,71,Mongolia,0,0,1,1,1996,0,16
834,71,Mozambique,0,0,1,1,1996,0,3
835,71,Puerto_Rico,0,0,1,1,1996,0,69
836,71,Tunisia,0,0,1,1,1996,0,51
837,71,Uganda,0,0,1,1,1996,0,10
838,1,United_States,37,24,32,93,2000,0,575
839,2,Russia,32,28,29,89,2000,0,434
840,3,China,28,16,14,58,2000,0,252
841,4,Australia,16,25,17,58,2000,1,603
842,5,Germany,13,17,26,56,2000,0,410
843,6,France,13,14,11,38,2000,0,335
844,7,Italy,13,8,13,34,2000,0,357
845,8,Netherlands,12,9,4,25,2000,0,231
846,9,Cuba,11,11,7,29,2000,0,229
847,10,Great_Britain,11,10,7,28,2000,0,301
848,11,Romania,11,6,9,26,2000,0,145
849,12,South_Korea,8,10,10,28,2000,0,271
850,13,Hungary,8,6,3,17,2000,0,178
851,14,Poland,6,5,3,14,2000,0,183
852,15,Japan,5,8,5,18,2000,0,255
853,16,Bulgaria,5,6,2,13,2000,0,91
854,17,Greece,4,6,3,13,2000,0,140
855,18,Sweden,4,5,3,12,2000,0,149
856,19,Norway,4,3,3,10,2000,0,89
857,20,Ethiopia,4,1,3,8,2000,0,26
858,21,Ukraine,3,10,10,23,2000,0,230
859,22,Kazakhstan,3,4,0,7,2000,0,130
860,23,Belarus,3,3,11,17,2000,0,139
861,24,Canada,3,3,8,14,2000,0,288
862,25,Spain,3,3,5,11,2000,0,316
863,26,Turkey,3,0,2,5,2000,0,57
864,27,Iran,3,0,1,4,2000,0,33
865,28,Czech_Republic,2,3,3,8,2000,0,111
866,29,Kenya,2,3,2,7,2000,0,56
867,30,Denmark,2,3,1,6,2000,0,89
868,31,Finland,2,1,1,4,2000,0,70
869,32,Austria,2,1,0,3,2000,0,92
870,33,Lithuania,2,0,3,5,2000,0,61
871,34,Azerbaijan,2,0,1,3,2000,0,31
872,34,Bahamas,2,0,1,3,2000,0,25
873,36,Slovenia,2,0,0,2,2000,0,74
874,37,Switzerland,1,6,2,9,2000,0,102
875,38,Indonesia,1,3,2,6,2000,0,35
876,39,Slovakia,1,3,1,5,2000,0,108
877,40,Mexico,1,2,3,6,2000,0,78
878,41,Nigeria,1,2,0,3,2000,0,81
879,42,Algeria,1,1,3,5,2000,0,47
880,43,Uzbekistan,1,1,2,4,2000,0,70
881,44,FR_Yugoslavia,1,1,1,3,2000,0,70
882,44,Latvia,1,1,1,3,2000,0,45
883,46,New_Zealand,1,0,3,4,2000,0,147
884,47,Estonia,1,0,2,3,2000,0,33
885,47,Thailand,1,0,2,3,2000,0,52
886,49,Croatia,1,0,1,2,2000,0,88
887,50,Cameroon,1,0,0,1,2000,0,34
888,50,Colombia,1,0,0,1,2000,0,44
889,50,Mozambique,1,0,0,1,2000,0,4
890,53,Brazil,0,6,6,12,2000,0,189
891,54,Jamaica,0,6,3,9,2000,0,48
892,55,Belgium,0,2,3,5,2000,0,68
893,55,South_Africa,0,2,3,5,2000,0,127
894,57,Argentina,0,2,2,4,2000,0,138
895,58,Chinese_Taipei,0,1,4,5,2000,0,53
896,58,Morocco,0,1,4,5,2000,0,55
897,60,North_Korea,0,1,3,4,2000,0,31
898,61,Moldova,0,1,1,2,2000,0,34
899,61,Saudi_Arabia,0,1,1,2,2000,0,18
900,61,Trinidad_and_Tobago,0,1,1,2,2000,0,19
901,64,Ireland,0,1,0,1,2000,0,64
902,64,Sri_Lanka,0,1,0,1,2000,0,18
903,64,Uruguay,0,1,0,1,2000,0,15
904,64,Vietnam,0,1,0,1,2000,0,7
905,68,Georgia,0,0,6,6,2000,0,36
906,69,Costa_Rica,0,0,2,2,2000,0,7
907,69,Portugal,0,0,2,2,2000,0,61
908,71,Armenia,0,0,1,1,2000,0,25
909,71,Barbados,0,0,1,1,2000,0,18
910,71,Chile,0,0,1,1,2000,0,50
911,71,Iceland,0,0,1,1,2000,0,18
912,71,India,0,0,1,1,2000,0,65
913,71,Israel,0,0,1,1,2000,0,39
914,71,Kuwait,0,0,1,1,2000,0,29
915,71,Kyrgyzstan,0,0,1,1,2000,0,48
916,71,Macedonia,0,0,1,1,2000,0,10
917,71,Qatar,0,0,1,1,2000,0,17
918,1,United_States,36,39,26,101,2004,0,521
919,2,China,32,17,14,63,2004,0,354
920,3,Russia,28,26,36,90,2004,0,442
921,4,Australia,17,16,17,50,2004,0,460
922,5,Japan,16,9,12,37,2004,0,300
923,6,Germany,13,16,20,49,2004,0,427
924,7,France,11,9,13,33,2004,0,307
925,8,Italy,10,11,11,32,2004,0,363
926,9,South_Korea,9,12,9,30,2004,0,249
927,10,Great_Britain,9,9,12,30,2004,0,258
928,11,Cuba,9,7,11,27,2004,0,151
929,12,Hungary,8,6,3,17,2004,0,206
930,13,Ukraine,8,5,9,22,2004,0,239
931,14,Romania,8,5,6,19,2004,0,108
932,15,Greece,6,6,4,16,2004,1,422
933,16,Brazil,5,2,3,10,2004,0,234
934,17,Norway,5,0,1,6,2004,0,44
935,18,Netherlands,4,9,9,22,2004,0,210
936,19,Sweden,4,2,1,7,2004,0,114
937,20,Spain,3,11,6,20,2004,0,310
938,21,Canada,3,6,3,12,2004,0,256
939,22,Turkey,3,3,4,10,2004,0,64
940,23,Poland,3,2,5,10,2004,0,194
941,24,New_Zealand,3,2,0,5,2004,0,148
942,25,Thailand,3,1,4,8,2004,0,39
943,26,Belarus,2,5,6,13,2004,0,151
944,27,Austria,2,4,1,7,2004,0,70
945,28,Ethiopia,2,3,2,7,2004,0,26
946,29,Iran,2,2,2,6,2004,0,37
947,29,Slovakia,2,2,2,6,2004,0,63
948,31,Chinese_Taipei,2,2,1,5,2004,0,88
949,32,Georgia,2,2,0,4,2004,0,32
950,33,Bulgaria,2,1,9,12,2004,0,95
951,34,Denmark,2,1,5,8,2004,0,84
952,35,Jamaica,2,1,2,5,2004,0,47
953,35,Uzbekistan,2,1,2,5,2004,0,69
954,37,Morocco,2,1,0,3,2004,0,55
955,38,Argentina,2,0,4,6,2004,0,149
956,39,Chile,2,0,1,3,2004,0,22
957,40,Kazakhstan,1,4,3,8,2004,0,114
958,41,Kenya,1,4,2,7,2004,0,46
959,42,Czech_Republic,1,3,5,9,2004,0,136
960,43,South_Africa,1,3,2,6,2004,0,106
961,44,Croatia,1,2,2,5,2004,0,81
962,45,Lithuania,1,2,0,3,2004,0,59
963,46,Egypt,1,1,3,5,2004,0,96
